Mg,Ni,Al,Fe,Ca,Cr,P,S,Ti,Si
0,1.315183485,,0,26.86082019,,,0,33.37955855,0.097905947
0,0,,0,31.58832455,,,0,36.25175313,0
0,0,,0,27.72036644,,,0,36.87276817,0
0.118598619,0,,0,33.30741704,,,0,35.94124561,0
0,0.657591742,,0,30.08411862,,,0,34.46633488,0
0,0,,0.640161561,29.65434549,,,0,36.32938001,0
0,0,,0,29.65434549,,,0,35.47548432,0.097905947
0,0,,0,25.1417277,,,0,38.89106706,0
0,0,,0,29.65434549,,,0,38.19242514,0
0,0.986387613,,0,29.65434549,,,0,35.32023056,0
0,0.657591742,,0,28.15013956,,,0,37.26090257,0.195811894
0,0.657591742,,0,30.08411862,,,0,33.69006608,0.097905947
0,0,,0,27.935253,,,0,34.07820048,0
0,0,,0,25.57150082,,,0,35.63073808,0.097905947
0,0,,0,30.51389174,,,0,36.56226065,0.097905947
0,0,,0,28.36502612,,,0,33.06905103,0
0.118598619,0,,0,23.85240833,,,0,35.32023056,0
0,0,,0,28.15013956,,,0,35.47548432,0
0,0,,0,30.08411862,,,0,34.85446928,0
0,0,,0.640161561,30.29900518,,,0,35.63073808,0
0,0,,0,27.72036644,,,0,37.9595445,0
0,0,,0,29.86923206,,,0,36.56226065,0.097905947
0,0,,0,33.95207672,,,0,34.15582736,0
0,0,,0,26.86082019,,,0,34.07820048,0
0,0,,0,32.66275736,,,0,37.49378321,0
0,1.315183485,,0,29.43945893,,,0,36.09649937,0
0,0,,0,31.58832455,,,0,35.08734992,0.097905947
0,0,,0,29.86923206,,,0,36.32938001,0.195811894
0.118598619,0,,0,28.57991269,,,0,35.86361873,0
0.118598619,0,,0,27.72036644,,,0,35.24260368,0
0,0,,0,30.51389174,,,0,38.96869394,0
0,0,,0,29.43945893,,,0,35.08734992,0
0,0,,0.640161561,26.43104707,,,0,36.01887249,0
0.118598619,0,,0.640161561,29.65434549,,,0,36.79514129,0
0.118598619,0,,0,30.08411862,,,0,36.32938001,0
0.118598619,0,,0,27.72036644,,,0,33.92294672,0
0,0,,0,30.29900518,,,0,34.62158864,0
0,0,,0,28.79479925,,,0,34.46633488,0
0,0,,0,26.86082019,,,0,36.95039505,0
0.118598619,0,,0,27.72036644,,,0,35.32023056,0
0,0,,0.640161561,31.15855142,,,0,34.07820048,0
0,0,,0,32.01809767,,,0,36.95039505,0.097905947
0,0,,0,25.57150082,,,0,34.54396176,0
0,0,,0,30.08411862,,,0,34.15582736,0.293717841
0,0,,0,27.72036644,,,0,34.15582736,0.097905947
0,0,,0,32.87764392,,,0,36.79514129,0
0,0,,0,27.935253,,,0,35.63073808,0.097905947
0.118598619,0.657591742,,0,26.86082019,,,0,35.94124561,0
0,0,,0.640161561,30.29900518,,,0,35.32023056,0
0.118598619,0.657591742,,0,30.08411862,,,0,36.40700689,0
0,0,,0,29.65434549,,,0,35.5531112,0.097905947
0,0,,0,26.43104707,,,0,34.62158864,0
0,0.657591742,,0,35.02650953,,,0,36.32938001,0.195811894
0,0,,0,27.29059332,,,0,35.32023056,0
0,0,,0,30.51389174,,,0,37.72666385,0.097905947
0,0,,0,30.7287783,,,0,34.46633488,0.097905947
0,0.657591742,,0,30.7287783,,,0,36.56226065,0
0,0,,0,29.65434549,,,0,35.78599185,0
0.118598619,0,,0,28.36502612,,,0,32.99142415,0.195811894
0,0,,0,31.80321111,,,0,35.86361873,0.195811894
0,0,,0.640161561,27.29059332,,,0,35.24260368,0
0,0,,0.640161561,28.15013956,,,0,36.56226065,0
0.118598619,0,,0,32.44787079,,,0,36.32938001,0
0.237197238,0,,0,27.29059332,,,0,37.49378321,0
0,0,,0,26.64593363,,,0,36.25175313,0
0,0,,0,28.57991269,,,0,36.25175313,0
0,0,,0.960242341,34.81162297,,,0,37.26090257,0.195811894
0,0,,0,26.86082019,,,0,34.07820048,0.097905947
0,0.657591742,,0,30.29900518,,,0,33.30193167,0
0,0.657591742,,0,26.21616051,,,0,37.10564881,0
0,0,,0,31.15855142,,,0,37.72666385,0.097905947
0,0,,0,27.72036644,,,0,35.63073808,0
0,0,,0,30.29900518,,,0,36.32938001,0
0,0,,0,28.79479925,,,0,33.69006608,0
0,0,,0,26.86082019,,,0,35.08734992,0
0,0.657591742,,0,28.15013956,,,0,36.40700689,0
0,0,,0,27.72036644,,,0,37.49378321,0
0,0,,0,29.00968581,,,0,36.63988753,0
0,0,,0,29.86923206,,,0,37.18327569,0
0,0,,0,27.29059332,,,0,36.09649937,0
0.237197238,0,,0,28.15013956,,,0,35.78599185,0
0.118598619,0,,0,31.80321111,,,0,34.85446928,0.195811894
0,0,,0,32.01809767,,,0,30.4297371,0
0,0,,0,28.36502612,,,0,36.09649937,0.195811894
0,0,,0,29.43945893,,,0,39.74496274,0.195811894
0,0,,0,28.57991269,,,0,33.76769296,0
0,0.657591742,,0.640161561,29.22457237,,,0,37.64903697,0
0,0,,0,27.29059332,,,0,35.94124561,0.097905947
0,0,,0,29.86923206,,,0,37.33852945,0
0,0,,0,32.66275736,,,0,35.47548432,0
0,0,,0,28.79479925,,,0,37.33852945,0
0,0.657591742,,0,30.7287783,,,0,33.76769296,0.097905947
0,0,,0,29.65434549,,,0,36.40700689,0.097905947
0,0,,0,30.08411862,,,0,35.63073808,0
0,0,,0,32.01809767,,,0,34.388708,0
0.118598619,0,,0.640161561,28.15013956,,,0,35.08734992,0
0.118598619,0.657591742,,0,27.935253,,,0,36.32938001,0.195811894
0,0.986387613,,0,27.29059332,,,0,35.47548432,0
0,0,,0,32.87764392,,,0,32.99142415,0
0,0,,0.640161561,32.01809767,,,0,36.09649937,0
0,0,,0,31.80321111,,,0,35.32023056,0
0,0,,0,29.43945893,,,0,34.93209616,0
0,0,,0,31.37343799,,,0,38.03717138,0
0.118598619,0,,0,28.57991269,,,0,36.63988753,0
